ano,sigla_uf,tipo_consumo,consumo
2004,AC,Cativo,415795.58999999997
2004,AC,Comercial,91589.87
2004,AC,Industrial,24098.94
2004,AC,Outros,115469.86
2004,AC,Residencial,184636.91
2004,AC,Total,415795.58
2004,AL,Cativo,3390490.0
2004,AL,Comercial,363878.0
2004,AL,Industrial,1841966.0
2004,AL,Outros,539725.0
2004,AL,Residencial,644921.0
2004,AL,Total,3390490.0
2004,AM,Cativo,3525109.54
2004,AM,Comercial,626497.79
2004,AM,Industrial,1323256.36
2004,AM,Outros,608618.33
2004,AM,Residencial,966737.13
2004,AM,Total,3525109.61
2004,AP,Cativo,501434.0
2004,AP,Comercial,103610.0
2004,AP,Industrial,23236.0
2004,AP,Outros,132453.0
2004,AP,Residencial,242135.0
2004,AP,Total,501434.0
2004,BA,Cativo,16058093.92
2004,BA,Comercial,1962971.84
2004,BA,Industrial,9485278.29
2004,BA,Outros,2505586.39
2004,BA,Residencial,3294250.79
2004,BA,Total,17248087.31
2004,CE,Cativo,6328339.9
2004,CE,Comercial,1121834.39
2004,CE,Industrial,1863272.4
2004,CE,Outros,1358296.57
2004,CE,Residencial,1984936.5
2004,CE,Total,6328339.859999999
2004,DF,Cativo,3570035.0
2004,DF,Comercial,1088899.0
2004,DF,Industrial,413123.77
2004,DF,Outros,936904.0
2004,DF,Residencial,1419497.0
2004,DF,Total,3858423.77
2004,ES,Cativo,5582313.45
2004,ES,Comercial,976226.85
2004,ES,Industrial,3948298.25
2004,ES,Outros,944864.18
2004,ES,Residencial,1264696.55
2004,ES,Total,7134085.83
2004,GO,Cativo,7899803.6899999995
2004,GO,Comercial,1143236.0
2004,GO,Industrial,2726024.69
2004,GO,Outros,1833031.0
2004,GO,Residencial,2348460.0
2004,GO,Total,8050751.6899999995
2004,MA,Cativo,5893035.73
2004,MA,Comercial,505754.03
2004,MA,Industrial,6745130.45
2004,MA,Outros,623283.91
2004,MA,Residencial,1045764.13
2004,MA,Total,8919932.52
2004,MG,Cativo,32773471.51
2004,MG,Comercial,3742285.24
2004,MG,Industrial,29875956.47
2004,MG,Outros,4743917.21
2004,MG,Residencial,6946611.48
2004,MG,Total,45308770.4
2004,MS,Cativo,3017348.6598
2004,MS,Comercial,611503.98
2004,MS,Industrial,866091.371
2004,MS,Outros,813628.96
2004,MS,Residencial,971725.13
2004,MS,Total,3262949.441
2004,MT,Cativo,3889288.64
2004,MT,Comercial,828658.04
2004,MT,Industrial,1134875.82
2004,MT,Outros,873590.99
2004,MT,Residencial,1210478.23
2004,MT,Total,4047603.08
2004,PA,Cativo,8637766.24
2004,PA,Comercial,967663.78
2004,PA,Industrial,9147098.64
2004,PA,Outros,942286.35
2004,PA,Residencial,1691380.4
2004,PA,Total,12748429.17
2004,PB,Cativo,2840284.41
2004,PB,Comercial,412888.55
2004,PB,Industrial,1019872.36
2004,PB,Outros,593901.9
2004,PB,Residencial,864562.61
2004,PB,Total,2891225.42
2004,PE,Cativo,7618581.3398
2004,PE,Comercial,1493560.67
2004,PE,Industrial,2226286.19
2004,PE,Outros,1620403.93
2004,PE,Residencial,2598782.68
2004,PE,Total,7939033.47
2004,PI,Cativo,1505696.2
2004,PI,Comercial,286807.0
2004,PI,Industrial,181344.0
2004,PI,Outros,413607.0
2004,PI,Residencial,625331.2
2004,PI,Total,1507089.2
2004,PR,Cativo,17534997.04
2004,PR,Comercial,3111678.51
2004,PR,Industrial,8994027.21
2004,PR,Outros,3168395.15
2004,PR,Residencial,4598804.49
2004,PR,Total,19872905.36
2004,RJ,Cativo,26263291.45
2004,RJ,Comercial,6716232.24
2004,RJ,Industrial,9093214.91
2004,RJ,Outros,4997425.54
2004,RJ,Residencial,9728330.68
2004,RJ,Total,30535203.37
2004,RN,Cativo,3062983.1
2004,RN,Comercial,505971.54
2004,RN,Industrial,1019123.48
2004,RN,Outros,772294.6
2004,RN,Residencial,898156.88
2004,RN,Total,3195546.5
2004,RO,Cativo,1344908.3
2004,RO,Comercial,303572.0
2004,RO,Industrial,220928.0
2004,RO,Outros,314833.0
2004,RO,Residencial,505575.3
2004,RO,Total,1344908.3
