ano,sigla_uf,highest_tipo_consumo
2004,AC,Residencial
2004,AL,Industrial
2004,AM,Industrial
2004,AP,Residencial
2004,BA,Industrial
2004,CE,Residencial
2004,DF,Residencial
2004,ES,Industrial
2004,GO,Industrial
2004,MA,Industrial
2004,MG,Industrial
2004,MS,Residencial
2004,MT,Residencial
2004,PA,Industrial
2004,PB,Industrial
2004,PE,Residencial
2004,PI,Residencial
2004,PR,Industrial
2004,RJ,Residencial
2004,RN,Industrial
2004,RO,Residencial
2004,RR,Residencial
2004,RS,Industrial
2004,SC,Industrial
2004,SE,Industrial
2004,SP,Industrial
2004,TO,Residencial
2005,AC,Residencial
2005,AL,Industrial
2005,AM,Industrial
2005,AP,Residencial
2005,BA,Industrial
2005,CE,Residencial
2005,DF,Residencial
2005,ES,Industrial
2005,GO,Industrial
2005,MA,Industrial
2005,MG,Industrial
2005,MS,Residencial
2005,MT,Residencial
2005,PA,Industrial
2005,PB,Industrial
2005,PE,Residencial
2005,PI,Residencial
2005,PR,Industrial
2005,RJ,Residencial
2005,RN,Industrial
2005,RO,Residencial
2005,RR,Residencial
2005,RS,Industrial
2005,SC,Industrial
2005,SE,Industrial
2005,SP,Industrial
2005,TO,Residencial
2006,AC,Residencial
2006,AL,Industrial
2006,AM,Industrial
2006,AP,Residencial
2006,BA,Industrial
2006,CE,Residencial
2006,DF,Residencial
2006,ES,Industrial
2006,GO,Industrial
2006,MA,Industrial
2006,MG,Industrial
2006,MS,Residencial
2006,MT,Residencial
2006,PA,Industrial
2006,PB,Industrial
2006,PE,Residencial
2006,PI,Residencial
2006,PR,Industrial
2006,RJ,Residencial
2006,RN,Industrial
2006,RO,Residencial
2006,RR,Residencial
2006,RS,Industrial
2006,SC,Industrial
2006,SE,Industrial
2006,SP,Industrial
2006,TO,Residencial
2007,AC,Residencial
2007,AL,Industrial
2007,AM,Industrial
2007,AP,Residencial
2007,BA,Industrial
2007,CE,Residencial
2007,DF,Residencial
2007,ES,Industrial
2007,GO,Industrial
2007,MA,Industrial
2007,MG,Industrial
2007,MS,Residencial
2007,MT,Residencial
2007,PA,Industrial
2007,PB,Industrial
2007,PE,Residencial
2007,PI,Residencial
2007,PR,Industrial
2007,RJ,Residencial
2007,RN,Industrial
2007,RO,Residencial
2007,RR,Residencial
2007,RS,Industrial
2007,SC,Industrial
2007,SE,Industrial
2007,SP,Industrial
2007,TO,Residencial
2008,AC,Residencial
2008,AL,Industrial
2008,AM,Industrial
2008,AP,Residencial
2008,BA,Industrial
2008,CE,Residencial
2008,DF,Residencial
2008,ES,Industrial
2008,GO,Industrial
2008,MA,Industrial
2008,MG,Industrial
2008,MS,Industrial
2008,MT,Industrial
2008,PA,Industrial
2008,PB,Industrial
2008,PE,Residencial
2008,PI,Residencial
2008,PR,Industrial
2008,RJ,Residencial
2008,RN,Industrial
2008,RO,Residencial
2008,RR,Residencial
2008,RS,Industrial
2008,SC,Industrial
2008,SE,Industrial
2008,SP,Industrial
2008,TO,Residencial
2009,AC,Residencial
2009,AL,Industrial
2009,AM,Industrial
2009,AP,Residencial
2009,BA,Industrial
2009,CE,Residencial
2009,DF,Residencial
2009,ES,Industrial
2009,GO,Industrial
2009,MA,Industrial
2009,MG,Industrial
2009,MS,Residencial
2009,MT,Industrial
2009,PA,Industrial
