ano,uf,consumo_energia,soma_produto_interno_bruto,soma_produto_interno_bruto_per_capita,sigla_uf,highest_tipo_consumo
2004,AC,831591.17,3784001.0,97092.33,AC,Residencial
2004,AL,6780980.0,14044904.0,368437.32000000007,AL,Industrial
2004,AM,7050219.15,31090695.0,186834.88,AM,Industrial
2004,AP,1002868.0,3824739.0,86306.93,AP,Residencial
2004,BA,33306181.23,77931719.0,1629833.8300000003,BA,Industrial
2004,CE,12656679.76,36890815.0,503771.3800000001,CE,Residencial
2004,DF,7428458.77,67076505.0,29393.1,DF,Residencial
2004,ES,12716399.28,39732641.0,588887.0700000001,ES,Industrial
2004,GO,15950555.38,51103822.0,2185011.5600000005,GO,Industrial
2004,MA,14812968.25,22127135.0,547543.2599999999,MA,Industrial
2004,MG,78082241.91,171870931.0,5152532.170000004,MG,Industrial
2004,MS,6280298.1008,23372310.0,904145.9,MS,Residencial
2004,MT,7936891.72,33388672.0,1817945.4400000009,MT,Residencial
2004,PA,21386195.41,37272723.0,607700.24,PA,Industrial
2004,PB,5731509.83,15757830.0,659110.0400000004,PB,Industrial
2004,PE,15557614.8098,44982683.0,592404.4699999999,PE,Residencial
2004,PI,3012785.4,9406460.0,484151.36,PI,Residencial
2004,PR,37407902.4,123451534.0,3747938.36,PR,Industrial
2004,RJ,56798494.82,241206741.0,1523655.0800000003,RJ,Residencial
2004,RN,6258529.6,17252397.0,696972.2,RN,Industrial
2004,RO,2689816.6,11004643.0,304960.65999999986,RO,Residencial
2004,RR,739774.8200000001,2822758.0,80003.47,RR,Residencial
2004,RS,41657223.71,131192202.0,5341877.350000003,RS,Industrial
2004,SC,28507344.88,73618967.0,3098699.180000001,SC,Industrial
2004,SE,4377030.14,13336259.0,451263.3900000001,SE,Industrial
2004,SP,184172183.859,652955566.0,6833158.390000007,SP,Industrial
2004,TO,1765399.12,7251578.0,687327.5199999998,TO,Residencial
2005,AC,914757.04,4300582.0,104963.18,AC,Residencial
2005,AL,7241045.94,15484518.0,410067.56,AL,Industrial
2005,AM,7489263.1,33980877.0,204335.35,AM,Industrial
2005,AP,1127817.0,4306409.0,97365.08,AP,Residencial
2005,BA,34178934.54,88291877.0,1765748.7299999993,BA,Industrial
2005,CE,13328084.28,41059464.0,549465.7499999999,CE,Residencial
2005,DF,7906232.47,75732681.0,32460.0,DF,Residencial
2005,ES,13014843.19,47020584.0,734275.6600000001,ES,Industrial
2005,GO,16424253.922,53865120.0,2126216.15,GO,Industrial
2005,MA,12349869.05,25104214.0,587280.1,MA,Industrial
2005,MG,67729738.08,188364428.0,5637925.950000001,MG,Industrial
2005,MS,6250061.2489,23725258.0,893238.28,MS,Residencial
2005,MT,8330533.79,34257050.0,1817238.5,MT,Residencial
2005,PA,19170784.38,40522896.0,661690.2,PA,Industrial
2005,PB,5806468.18,17557239.0,738657.1899999997,PB,Industrial
2005,PE,16547576.8898,50240325.0,662626.5099999997,PE,Residencial
2005,PI,3209204.0,10711833.0,525007.76,PI,Residencial
2005,PR,38304063.74,127464516.0,3686121.679999997,PR,Industrial
2005,RJ,59126050.6,269830066.0,1677937.7599999998,RJ,Residencial
2005,RN,6717141.36,19966918.0,799125.1399999999,RN,Industrial
2005,RO,2878652.0,12511820.0,344950.0400000001,RO,Residencial
2005,RR,759113.78,3193432.0,87989.08000000002,RR,Residencial
2005,RS,42587639.49,136362779.0,4789611.519999996,RS,Industrial
2005,SC,29098439.5,81549236.0,3293114.990000001,SC,Industrial
2005,SE,4596600.6,14430117.0,487582.6800000001,SE,Industrial
2005,SP,183448397.33,743042946.0,7543530.339999999,SP,Industrial
2005,TO,1863889.14,7707343.0,690769.4699999995,TO,Residencial
2006,AC,1009533.6,4661806.0,111394.29,AC,Residencial
2006,AL,6888176.6,17395671.0,445735.6099999999,AL,Industrial
2006,AM,7848890.46,39933214.0,238243.2,AM,Industrial
2006,AP,1201742.5,5280824.0,109312.73,AP,Residencial
2006,BA,34744500.14,95347798.0,1902687.730000001,BA,Industrial
2006,CE,13283575.32,46500321.0,627541.07,CE,Residencial
2006,DF,8299049.85,84661406.0,35515.55,DF,Residencial
2006,ES,12608814.2,53463871.0,790875.3099999999,ES,Industrial
